crime_id;year;month;day;weekday;hour;aisp;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation;victim_id
20231461326;2024;1;2;Terça;21;20ª AISP – Londrina;LONDRINA;CINCO CONJUNTOS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;PARDA;;9564
2024580251;2024;1;13;Sábado;4;1ª AISP - Curitiba;CURITIBA;CRISTO REI;Lesão Corporal com Resultado Morte;49;M;BRANCA;HETEROSSEXUAL;13016
2024204008;2024;1;16;Terça;14;17ª AISP – Maringá;SARANDI;JARDIM INDEPENDECIA;Lesão Corporal com Resultado Morte;54;M;PARDA;;12999
2024173019;2024;1;25;Quinta;2;2ª AISP – São José dos Pinhais;AGUDOS DO SUL;LEAO;Praticar Homicídio Culposo na Direção de Veículo;32;M;BRANCA;;18166
2024160230;2024;1;23;Terça;3;7ª AISP – Guarapuava;MANOEL RIBAS;ALDEIA INDIGENA IVAI;Praticar Homicídio Culposo na Direção de Veículo;27;M;INDIGENA;;18160
2024139317;2024;1;15;Segunda;13;14ª AISP - Campo Mourão;LUIZIANA;RURAL;Praticar Homicídio Culposo na Direção de Veículo;36;F;BRANCA;;18144
2024137805;2024;1;30;Terça;21;17ª AISP – Maringá;MARINGA;PQ INDUSTRIAL;Praticar Homicídio Culposo na Direção de Veículo;45;M;PARDA;;18142
2024135231;2024;1;31;Quarta;17;3ª AISP – Paranaguá;GUARATUBA;JARDIM NEREIDAS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;BRANCA;;9716
2024134951;2024;1;31;Quarta;23;20ª AISP – Londrina;LONDRINA;MARIA CELINA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);19;M;PARDA;;9715
2024133579;2024;1;31;Quarta;12;4ª AISP - Ponta Grossa;REBOUCAS;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;BRANCA;HETEROSSEXUAL;9714
2024133388;2024;1;31;Quarta;8;20ª AISP – Londrina;LONDRINA;CENTRO HISTORICO;Praticar Homicídio Culposo na Direção de Veículo;22;M;;HETEROSSEXUAL;18140
2024131817;2024;1;31;Quarta;8;15ª AISP – Umuarama;IPORA;IPIRANGA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);63;M;PARDA;;9713
2024130383;2024;1;30;Terça;21;5ª AISP - São Mateus do Sul;RIO NEGRO;BOM JESUS;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;28;M;PARDA;;21315
2024130233;2024;1;30;Terça;21;23ª AISP – Jacarezinho;JOAQUIM TAVORA;PREJNÃO INFORMADO;Praticar Homicídio Culposo na Direção de Veículo;68;F;BRANCA;;18138
2024130233;2024;1;30;Terça;21;23ª AISP – Jacarezinho;JOAQUIM TAVORA;PREJNÃO INFORMADO;Praticar Homicídio Culposo na Direção de Veículo;70;M;BRANCA;;18139
2024130167;2024;1;30;Terça;20;4ª AISP - Ponta Grossa;PONTA GROSSA;OLARIAS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;;;9712
2024129855;2024;1;30;Terça;20;19ª AISP – Rolandia;ARAPONGAS;CENTAURO;Praticar Homicídio Culposo na Direção de Veículo;71;M;BRANCA;;18137
2024129273;2024;1;30;Terça;15;11ª AISP - Cascavel;CASCAVEL;SANTA CRUZ;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);36;M;PARDA;;9711
2024128838;2024;1;30;Terça;9;23ª AISP – Jacarezinho;SANTO ANTONIO DA PLATINA;RURAL;Praticar Homicídio Culposo na Direção de Veículo;5;M;BRANCA;;18135
2024128838;2024;1;30;Terça;9;23ª AISP – Jacarezinho;SANTO ANTONIO DA PLATINA;RURAL;Praticar Homicídio Culposo na Direção de Veículo;42;F;PARDA;;18136
2024128838;2024;1;30;Terça;9;23ª AISP – Jacarezinho;SANTO ANTONIO DA PLATINA;RURAL;Praticar Homicídio Culposo na Direção de Veículo;45;M;BRANCA;;18134
2024128838;2024;1;30;Terça;9;23ª AISP – Jacarezinho;SANTO ANTONIO DA PLATINA;RURAL;Praticar Homicídio Culposo na Direção de Veículo;73;M;PARDA;;18133
2024128501;2024;1;30;Terça;16;15ª AISP – Umuarama;IPORA;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);50;F;PARDA;;9710
2024126027;2024;1;30;Terça;10;17ª AISP – Maringá;MARINGA;JARDIM OURO COLA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);25;M;PRETA;;9709
