year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation
2024;1;28;DOMINGO;18;SANTO ANTONIO DO SUDOESTE;VILA AURORA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);49;F;BRANCA;
2024;1;27;SABADO;13;RENASCENCA;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;21;M;BRANCA;
2024;1;22;SEGUNDA;9;FRANCISCO BELTRAO;KM 23;Praticar Homicídio Culposo na Direção de Veículo;52;M;PARDA;
2024;1;22;SEGUNDA;9;FRANCISCO BELTRAO;KM 23;Praticar Homicídio Culposo na Direção de Veículo;58;M;PARDA;
2024;1;13;SABADO;11;DOIS VIZINHOS;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);17;M;PARDA;
2024;1;11;QUINTA;17;SANTO ANTONIO DO SUDOESTE;RODOVIA BR;Praticar Homicídio Culposo na Direção de Veículo;64;F;;
2024;1;5;SEXTA;18;CAPANEMA;CENTRO;Lesão Corporal com Resultado Morte;45;F;PARDA;
2024;1;5;SEXTA;20;SALGADO FILHO;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;63;M;BRANCA;
2024;1;1;SEGUNDA;18;BARRACAO;ALVORADA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;BRANCA;
2024;2;27;TERCA;9;DOIS VIZINHOS;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;65;F;PARDA;
2024;2;24;SABADO;10;SANTA IZABEL DO OESTE;SAIDA PARA AMPERE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;;;
2024;2;25;DOMINGO;18;SANTA IZABEL DO OESTE;NOSSA SENHORA DE FAT;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);66;M;BRANCA;
2024;2;25;DOMINGO;2;MANFRINOPOLIS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;25;;;
2024;2;14;QUARTA;1;SALTO DO LONTRA;VILA NOVA;Feminicídio;43;F;BRANCA;
2024;2;14;QUARTA;1;SALTO DO LONTRA;VILA NOVA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);43;F;BRANCA;
2024;2;10;SABADO;20;SANTO ANTONIO DO SUDOESTE;VILA AURORA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);53;M;;
2024;3;30;SABADO;20;PEROLA DO OESTE;COHAPAR;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);60;M;BRANCA;
2024;3;30;SABADO;9;SANTO ANTONIO DO SUDOESTE;CENTRO;Feminicídio;49;F;;
2024;3;30;SABADO;9;SANTO ANTONIO DO SUDOESTE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);49;F;;
2024;3;2;SABADO;16;PRANCHITA;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;39;M;;
2024;3;25;SEGUNDA;5;SALGADO FILHO;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;26;M;BRANCA;
2024;3;23;SABADO;20;FRANCISCO BELTRAO;SAO CRISTOVAO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);52;M;BRANCA;
2024;3;22;SEXTA;23;FRANCISCO BELTRAO;LUTHER KING;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;PARDA;
2024;3;22;SEXTA;20;BOA ESPERANCA DO IGUACU;SOL NASCENTE;Lesão Corporal com Resultado Morte;45;M;;
2024;3;18;SEGUNDA;9;DOIS VIZINHOS;;Praticar Homicídio Culposo na Direção de Veículo;69;M;BRANCA;
2024;3;18;SEGUNDA;14;NOVA PRATA DO IGUACU;VORAZINHO;Praticar Homicídio Culposo na Direção de Veículo;57;M;BRANCA;HETEROSSEXUAL
2024;3;16;SABADO;13;FRANCISCO BELTRAO;AGUA BRANCA;Lesão Corporal com Resultado Morte;49;M;BRANCA;
2024;3;14;QUINTA;23;SALTO DO LONTRA;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);46;M;BRANCA;HETEROSSEXUAL
2024;3;7;QUINTA;16;CAPANEMA;LINHA NOVA GAUCHA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);45;M;PARDA;
2024;3;5;TERCA;5;FRANCISCO BELTRAO;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;33;M;;
2024;4;25;QUINTA;13;FRANCISCO BELTRAO;SAO MIGUEL;Feminicídio;37;F;BRANCA;
2024;4;25;QUINTA;13;FRANCISCO BELTRAO;SAO MIGUEL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);37;F;BRANCA;
2024;4;23;TERCA;5;FLOR DA SERRA DO SUL;COHAPAR;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);56;M;PARDA;
2024;4;12;SEXTA;15;MARMELEIRO;INTERIOR;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);21;M;;
2024;4;10;QUARTA;13;CRUZEIRO DO IGUACU;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;53;M;;HETEROSSEXUAL
2024;4;10;QUARTA;13;CRUZEIRO DO IGUACU;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;69;F;BRANCA;HETEROSSEXUAL
2024;4;10;QUARTA;13;CRUZEIRO DO IGUACU;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;76;M;BRANCA;HETEROSSEXUAL
2024;4;6;SABADO;22;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;42;M;BRANCA;
2024;4;6;SABADO;14;FRANCISCO BELTRAO;SAO MIGUEL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);61;M;BRANCA;
2024;4;6;SABADO;2;FRANCISCO BELTRAO;SAO CRISTOVAO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;PARDA;
2024;4;1;SEGUNDA;10;SALTO DO LONTRA;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;64;M;;HETEROSSEXUAL
2024;5;31;SEXTA;11;RENASCENCA;COASUL;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;BRANCA;
2024;5;31;SEXTA;11;RENASCENCA;COASUL;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;PRETA;
