year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity
2024;1;28;DOMINGO;8;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Praticar Homicídio Culposo na Direção de Veículo;35;M;
2024;1;27;SABADO;14;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;20;M;BRANCA
2024;1;27;SABADO;14;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;24;M;AMARELA
2024;1;27;SABADO;14;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;26;M;PRETA
2024;1;12;SEXTA;22;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;32;M;BRANCA
2024;1;7;DOMINGO;20;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;BRANCA
2024;2;28;QUARTA;20;ALMIRANTE TAMANDARE;COLONIA ANTONIO PRADO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;37;M;PARDA
2024;2;27;TERCA;12;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Praticar Homicídio Culposo na Direção de Veículo;19;M;BRANCA
2024;2;15;QUINTA;15;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;;
2024;2;18;DOMINGO;8;ALMIRANTE TAMANDARE;BOICHININGA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;
2024;2;17;SABADO;20;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;PARDA
2024;2;11;DOMINGO;13;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);25;M;
2024;3;24;DOMINGO;1;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;BRANCA
2024;3;13;QUARTA;7;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;BRANCA
2024;3;7;QUINTA;2;ALMIRANTE TAMANDARE;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;52;M;PARDA
2024;4;28;DOMINGO;0;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;BRANCA
2024;4;13;SABADO;21;ALMIRANTE TAMANDARE;TRANQUEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);53;F;BRANCA
2024;4;11;QUINTA;3;ALMIRANTE TAMANDARE;COLONIA ANTONIO PRADO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);40;M;PARDA
2024;4;8;SEGUNDA;3;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);19;M;PARDA
;;;;;;;;;;
2024;5;30;QUINTA;20;ALMIRANTE TAMANDARE;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;F;BRANCA
2024;5;30;QUINTA;20;ALMIRANTE TAMANDARE;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;BRANCA
2024;5;28;TERCA;17;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);49;M;BRANCA
2024;5;18;SABADO;3;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;BRANCA
2024;5;15;QUARTA;20;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);38;M;PARDA
2024;6;28;SEXTA;18;ALMIRANTE TAMANDARE;MATO DENTRO;Praticar Homicídio Culposo na Direção de Veículo;19;M;BRANCA
2024;6;25;TERCA;22;ALMIRANTE TAMANDARE;BONFIM;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;27;M;BRANCA
